place_id,rating_rev,text
ChIJu0clrRCIQQ0R00GSTWpDKZQ,5,Dinner start after 8 pm. Honestly best Paella we have had in Madrid. You can tell this is were the locals go!
ChIJu0clrRCIQQ0R00GSTWpDKZQ,4,"Very  tasty food, especially paella. Good service and nice clean restaurant."
ChIJu0clrRCIQQ0R00GSTWpDKZQ,3,Ok... would you pay premium money for good food in a really bad part of town? Let me help you answer that question: service is a not professional Latam sort of ilegal guy.
ChIJu0clrRCIQQ0R00GSTWpDKZQ,4,The experience was great. The food was great
ChIJu0clrRCIQQ0R00GSTWpDKZQ,5,Great food and very friendly staff!
ChIJR08D2YsnQg0RUpRahajdwuw,5,"A very bang for buck colombian buffet! There are long waiting lines since they don't take reservation, so go expecting to wait atleast 30 mins to be seated on weekends. Great empanadas, soups, traditional Colombian drinks and coffee. Definitely a must try it you've got absolutely nothing planned after a heavy lunch"
ChIJR08D2YsnQg0RUpRahajdwuw,5,"Good food if u want to try the typical plates of Colombia. Perfect place with awesome decoration.
A lit expensive. Recommend breakfast with chocolate"
ChIJR08D2YsnQg0RUpRahajdwuw,5,Great atmosphere with a live singer. Thoroughly recommended for lively drink and some empanadas.
ChIJR08D2YsnQg0RUpRahajdwuw,3,"We used to love this place and came many times sometimes even twice a week.. the food was delicious.... But the last couple times we visited we noticed the quality going down. Just recently when we were last there... It was extremely disappointing. They had almost no carne en salsas... Everything was fried, super dry and stale like it had been sitting out for awhile. The only thing worth eating was the empanadas, frijoles and some deserts... Super disappointed as this was our favorite restaurant."
ChIJR08D2YsnQg0RUpRahajdwuw,4,Was in Spain for two weeks and my family took me here. Great place was very clean open. Great food with many choices for people like me that only eat chicken and fish. Certainly going back here on my next trip to Spain.
ChIJPTkT8oonQg0R8e131NHINLw,2,"I always buy vegetables at this stand, from the neighborhood market and with excellent products. But this year I have already had two disappointments, both the black bean and the judion, they have turned out badly, that is, some were just right and others were hard, which I understand is that they mix the new ones with the old ones from the previous year. This is just enough to spoil a meal. Honestly, it seems to me that this is misleading the client."
ChIJPTkT8oonQg0R8e131NHINLw,1,"Deplorable delivery service. The ham arrives 1 month later, I ordered it on December 14 for Christmas and it will arrive on January 10. I was lost and they couldn't give me an explanation or at least send me another one."
ChIJPTkT8oonQg0R8e131NHINLw,5,"Delicatessen with a wide variety of quality products, the hams and the hand cutting are excellent, and they also have services for all types of events."
ChIJPTkT8oonQg0R8e131NHINLw,4,
ChIJfTtWCyCIQQ0RjSvbD-IZ_cY,1,"I made a delivery order that included a dessert called a cup of cream with walnuts. It should be noted that in all the Chinese restaurants where I have eaten they have given me what it is, a cup of whipped cream with caramelized walnuts, and when I have ordered it at home, a taper with whipped cream and caramelized walnuts on the side.
Once I received the order I saw that they had brought me an ice cream with nuts, seeing this I contacted the restaurant so that they could give me a solution, either they would refund my money and come get the product or they would bring me what I had ordered. At the time the lady who works there answered me, I only received screams from her saying that they only had nut ice cream for 4.50, then she decided to hand me over to a person who did speak a little more Spanish to which he told me that was what they had there and that no one had ever complained and that if I had any problem that I should go and make the change to the restaurant but that the problem was not theirs. Then the woman picked up the phone again to continue yelling at me and telling me that that was what they had for 4.50 and they charged me 5.95.
To all of this, I have repeated to him on several occasions, since he has told me that the people who go there have never complained, that I was a regular customer of that restaurant since I had ordered food there on several occasions, and his response was “well, if you have ordered more than 39 times, you will know that here we have cream with nuts like that” and I told him that it is the first time I have asked for it and he laughed.
It turns out that when you look at their entire dessert menu, it is clearly reflected that they list Ice Cream with Walnuts at 4.50 and the Cup of Cream with Walnuts at 5.95.
The treatment was disastrous and the rest of the food was bland, the lemon chicken tasted stale and tough.
As you can see in the photos, there is the ice cream with walnuts and the glass of cream with walnuts, they charged me 5.95 for the glass of cream with walnuts but they nevertheless brought me the ice cream.
I once again highlight the horrible customer service that these people have.
I will never order here again."
ChIJfTtWCyCIQQ0RjSvbD-IZ_cY,5,"I went to eat with my mother and I loved it. We had gone more times, but now you can see that it is cleaner and with the menu, the dishes are not that big, but for one it is super good, we ordered.
2 menus A
Firsts.
✓ Chinese salad.           ✓ Roll
Second
✓ Rice three delicacies ✓ Noodles
Third
✓ chicken with sauce ✓ meat with peppers

Dessert coffee and ice cream

I loved it I recommend it 😊"
ChIJfTtWCyCIQQ0RjSvbD-IZ_cY,4,"Lunch with my daughters.
Typical neighborhood Chinese restaurant.
3 spring rolls, 2 three delicacies rice, noodles with shrimp, sweet and sour pork, beef with mushrooms and lemon chicken.
Dessert two ice creams and a flan. Wine to drink. €33 total.
Fast and attentive service, good food, pleasant atmosphere without music luckily.👍"
ChIJfTtWCyCIQQ0RjSvbD-IZ_cY,5,"I usually order mostly at home. The truth is that the quantities for the price are great, the sweet and sour sauce is like yellow but it is one of the tastiest I have ever tried. The only thing that the meat lacked salt, but nothing that can't be solved! I completely recommend eating or ordering from this restaurant. Although the delivery man was a little unpleasant, they are usually very attentive."
ChIJfTtWCyCIQQ0RjSvbD-IZ_cY,4,"Hello 👋 you eat excellent Chinese food, at a good price and abundant, just like its name.....they serve very well......well connected between Carpetana and Carabanchel meters, and buses
I saw it clean and neat
They take home"
ChIJB6AzuSKIQQ0RiIg31sS64Po,5,"Brill!, Francisco makes the best coffee! And the best burrata. And Giuseppe is the best Italian speaking waiter!Giuseppe with the Bulgarian Moto Cross champion!"
ChIJB6AzuSKIQQ0RiIg31sS64Po,5,"Excellent

The best Italian food place you can find in the area, run by authentic Italians. The food is spectacular and has an adequate variety, neither too little nor too much that you don't know what to order.

The menu of the day is also phenomenal, it is well worth eating in this place."
ChIJB6AzuSKIQQ0RiIg31sS64Po,5,"My first visit, not the last. Spectacular. We have tried lasagna, calzzone, a pizza and fresh pasta with seafood. Everything is delicious, for dessert the tiramisu is recommended, it is spectacular. Giuseppe congratulations on your restaurant, it has everything"
ChIJB6AzuSKIQQ0RiIg31sS64Po,1,"I was confident in ordering delivery because of the good comments it had, but we received a sad pizza, almost without dough and with three pieces of mushroom and ham. The calzone arrived flattened and almost without filling. And of course all the food was cold and the taste left a lot to be desired. Paying 39 euros for this seems like a theft to me. It is shameful and regrettable."
ChIJB6AzuSKIQQ0RiIg31sS64Po,5,"Very good dinner! A highly recommended site. We were having dinner and they recommended the gnocchi and truffle stuffed pasta. Both spectacular dishes. We also ordered a barbecue calzone. To finish, we ordered a tiramisu and a pannacotta that were to die for! We ended up very full. They served us super fast and well, we will surely return!"
ChIJ9YcJgyKIQQ0RvFvcsjycTGk,1,I paid for extra pepperoni and this is what I got and I told them no peppers plus it's cold.  I will never be purchasing from them again. And the manager sounded like she hated her life.
ChIJ9YcJgyKIQQ0RvFvcsjycTGk,1,"Terrible service we have ordered multiple times and every time they state 30 minutes... And every time its 1 hour 30 minutes late we even put in for a refund request which for one order never showed up! And we heard nothing back terrible service the people on the phone do not know what they are doing.

We live 15 minutes away....."
ChIJ9YcJgyKIQQ0RvFvcsjycTGk,5,Get it 10 minute
ChIJ9YcJgyKIQQ0RvFvcsjycTGk,3,Nice
ChIJ9YcJgyKIQQ0RvFvcsjycTGk,5,Good
ChIJs3y1EyOIQQ0RChFYzpwZiDQ,5,"Fantastic meal, columbian restaurant with ultra fresh ingredients and interesting recipes. I had the grilled fish and the empanadas.... Highly recommend."
ChIJs3y1EyOIQQ0RChFYzpwZiDQ,5,"We had the set menu for an early meal today and loved it. Good portions, tasty food. They were accommodating and nice with our 2 year old who became a little antsy towards the end. Would definitely go back and recommend to all looking for a good Chinese."
ChIJs3y1EyOIQQ0RChFYzpwZiDQ,5,amazing service and lovely food amazing place
