cod_distrito,distrito,cod_barrio,barrio,año,unidad_indicador,indicador_completo,valor_indicador
1.0,Centro,11.0,Palacio,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",490
1.0,Centro,11.0,Palacio,2019,Votos,"Elecciones municipales, votos a Más Madrid",5998
1.0,Centro,12.0,Embajadores,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",1082
1.0,Centro,12.0,Embajadores,2019,Votos,"Elecciones municipales, votos a Más Madrid",11166
1.0,Centro,13.0,Cortes,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",263
1.0,Centro,13.0,Cortes,2019,Votos,"Elecciones municipales, votos a Más Madrid",2410
1.0,Centro,14.0,Justicia,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",403
1.0,Centro,14.0,Justicia,2019,Votos,"Elecciones municipales, votos a Más Madrid",3502
1.0,Centro,15.0,Universidad,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",741
1.0,Centro,15.0,Universidad,2019,Votos,"Elecciones municipales, votos a Más Madrid",7932
1.0,Centro,16.0,Sol,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",215
1.0,Centro,16.0,Sol,2019,Votos,"Elecciones municipales, votos a Más Madrid",1413
2.0,Arganzuela,21.0,Imperial,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",191
2.0,Arganzuela,21.0,Imperial,2019,Votos,"Elecciones municipales, votos a Más Madrid",5309
2.0,Arganzuela,22.0,Acacias,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",289
2.0,Arganzuela,22.0,Acacias,2019,Votos,"Elecciones municipales, votos a Más Madrid",9079
2.0,Arganzuela,22.0,Acacias,2020,Equipamientos,Centros para personas sin hogar,1
2.0,Arganzuela,23.0,Chopera,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",117
2.0,Arganzuela,23.0,Chopera,2019,Votos,"Elecciones municipales, votos a Más Madrid",4303
2.0,Arganzuela,24.0,Legazpi,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",154
2.0,Arganzuela,24.0,Legazpi,2019,Votos,"Elecciones municipales, votos a Más Madrid",4400
2.0,Arganzuela,25.0,Delicias,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",243
2.0,Arganzuela,25.0,Delicias,2019,Votos,"Elecciones municipales, votos a Más Madrid",5911
2.0,Arganzuela,26.0,Palos de la Frontera,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",302
2.0,Arganzuela,26.0,Palos de la Frontera,2019,Votos,"Elecciones municipales, votos a Más Madrid",5773
2.0,Arganzuela,27.0,Atocha,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",5
2.0,Arganzuela,27.0,Atocha,2019,Votos,"Elecciones municipales, votos a Más Madrid",242
3.0,Retiro,31.0,Pacífico,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",251
3.0,Retiro,31.0,Pacífico,2019,Votos,"Elecciones municipales, votos a Más Madrid",6603
3.0,Retiro,32.0,Adelfas,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",115
3.0,Retiro,32.0,Adelfas,2019,Votos,"Elecciones municipales, votos a Más Madrid",3674
3.0,Retiro,33.0,Estrella,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",109
3.0,Retiro,33.0,Estrella,2019,Votos,"Elecciones municipales, votos a Más Madrid",3857
3.0,Retiro,34.0,Ibiza,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",247
3.0,Retiro,34.0,Ibiza,2019,Votos,"Elecciones municipales, votos a Más Madrid",3502
3.0,Retiro,35.0,Los Jerónimos,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",82
3.0,Retiro,35.0,Los Jerónimos,2019,Votos,"Elecciones municipales, votos a Más Madrid",839
3.0,Retiro,36.0,Niño Jesús,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",98
3.0,Retiro,36.0,Niño Jesús,2019,Votos,"Elecciones municipales, votos a Más Madrid",2088
4.0,Salamanca,41.0,Recoletos,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",244
4.0,Salamanca,41.0,Recoletos,2019,Votos,"Elecciones municipales, votos a Más Madrid",889
4.0,Salamanca,42.0,Goya,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",472
4.0,Salamanca,42.0,Goya,2019,Votos,"Elecciones municipales, votos a Más Madrid",3190
4.0,Salamanca,43.0,Fuente del Berro,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",262
4.0,Salamanca,43.0,Fuente del Berro,2019,Votos,"Elecciones municipales, votos a Más Madrid",3383
4.0,Salamanca,44.0,Guindalera,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",411
4.0,Salamanca,44.0,Guindalera,2019,Votos,"Elecciones municipales, votos a Más Madrid",6159
4.0,Salamanca,45.0,Lista,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",337
4.0,Salamanca,45.0,Lista,2019,Votos,"Elecciones municipales, votos a Más Madrid",2205
4.0,Salamanca,46.0,Castellana,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",271
4.0,Salamanca,46.0,Castellana,2019,Votos,"Elecciones municipales, votos a Más Madrid",876
5.0,Chamartín,51.0,El Viso,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",143
5.0,Chamartín,51.0,El Viso,2019,Votos,"Elecciones municipales, votos a Más Madrid",970
5.0,Chamartín,52.0,Prosperidad,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",344
5.0,Chamartín,52.0,Prosperidad,2019,Votos,"Elecciones municipales, votos a Más Madrid",5731
5.0,Chamartín,53.0,Ciudad Jardín,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",173
5.0,Chamartín,53.0,Ciudad Jardín,2019,Votos,"Elecciones municipales, votos a Más Madrid",3065
5.0,Chamartín,54.0,Hispanoamérica,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",175
5.0,Chamartín,54.0,Hispanoamérica,2019,Votos,"Elecciones municipales, votos a Más Madrid",3192
5.0,Chamartín,55.0,Nueva España,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",163
5.0,Chamartín,55.0,Nueva España,2019,Votos,"Elecciones municipales, votos a Más Madrid",1914
5.0,Chamartín,56.0,Castilla,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",159
5.0,Chamartín,56.0,Castilla,2019,Votos,"Elecciones municipales, votos a Más Madrid",2017
5.0,Chamartín,56.0,Castilla,2020,Equipamientos,Centros de Servicios Sociales,1
6.0,Tetuán,61.0,Bellas Vistas,2019,Votos,"Elecciones municipales, votos a Más Madrid",4179
6.0,Tetuán,62.0,Cuatro Caminos,2019,Votos,"Elecciones municipales, votos a Más Madrid",4314
6.0,Tetuán,63.0,Castillejos,2019,Votos,"Elecciones municipales, votos a Más Madrid",2387
6.0,Tetuán,64.0,Almenara,2019,Votos,"Elecciones municipales, votos a Más Madrid",3272
6.0,Tetuán,65.0,Valdeacederas,2019,Votos,"Elecciones municipales, votos a Más Madrid",3737
6.0,Tetuán,66.0,Berruguete,2019,Votos,"Elecciones municipales, votos a Más Madrid",3430
7.0,Chamberí,71.0,Gaztambide,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",228
7.0,Chamberí,71.0,Gaztambide,2019,Votos,"Elecciones municipales, votos a Más Madrid",3771
7.0,Chamberí,72.0,Arapiles,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",295
7.0,Chamberí,72.0,Arapiles,2019,Votos,"Elecciones municipales, votos a Más Madrid",4507
7.0,Chamberí,73.0,Trafalgar,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",364
7.0,Chamberí,73.0,Trafalgar,2019,Votos,"Elecciones municipales, votos a Más Madrid",4721
7.0,Chamberí,74.0,Almagro,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",268
7.0,Chamberí,74.0,Almagro,2019,Votos,"Elecciones municipales, votos a Más Madrid",1978
7.0,Chamberí,75.0,Ríos Rosas,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",451
7.0,Chamberí,75.0,Ríos Rosas,2019,Votos,"Elecciones municipales, votos a Más Madrid",4019
7.0,Chamberí,75.0,Ríos Rosas,2019,Entidades,Asociaciones vecinales,1
7.0,Chamberí,76.0,Vallehermoso,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
ITALIA (Población total Distrito)",137
7.0,Chamberí,76.0,Vallehermoso,2019,Votos,"Elecciones municipales, votos a Más Madrid",2586
8.0,Fuencarral-El Pardo,81.0,El Pardo,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",11
8.0,Fuencarral-El Pardo,81.0,El Pardo,2019,Votos,"Elecciones municipales, votos a Más Madrid",357
8.0,Fuencarral-El Pardo,82.0,Fuentelarreina,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
CHINA (Población total Distrito)",1
8.0,Fuencarral-El Pardo,82.0,Fuentelarreina,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",16
8.0,Fuencarral-El Pardo,82.0,Fuentelarreina,2019,Votos,"Elecciones municipales, votos a Más Madrid",176
8.0,Fuencarral-El Pardo,83.0,Peñagrande,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",394
8.0,Fuencarral-El Pardo,83.0,Peñagrande,2019,Votos,"Elecciones municipales, votos a Más Madrid",7344
8.0,Fuencarral-El Pardo,84.0,Pilar,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",605
8.0,Fuencarral-El Pardo,84.0,Pilar,2019,Votos,"Elecciones municipales, votos a Más Madrid",7307
8.0,Fuencarral-El Pardo,85.0,La Paz,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",171
8.0,Fuencarral-El Pardo,85.0,La Paz,2019,Votos,"Elecciones municipales, votos a Más Madrid",5334
8.0,Fuencarral-El Pardo,86.0,Valverde,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",508
8.0,Fuencarral-El Pardo,86.0,Valverde,2019,Votos,"Elecciones municipales, votos a Más Madrid",7867
8.0,Fuencarral-El Pardo,87.0,Mirasierra,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",60
8.0,Fuencarral-El Pardo,87.0,Mirasierra,2019,Votos,"Elecciones municipales, votos a Más Madrid",3702
8.0,Fuencarral-El Pardo,88.0,El Goloso,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",54
8.0,Fuencarral-El Pardo,88.0,El Goloso,2019,Votos,"Elecciones municipales, votos a Más Madrid",1867
9.0,Moncloa-Aravaca,91.0,Casa de Campo,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",94
9.0,Moncloa-Aravaca,91.0,Casa de Campo,2019,Votos,"Elecciones municipales, votos a Más Madrid",2994
9.0,Moncloa-Aravaca,92.0,Argüelles,2019,Personas,"Primera y segunda nacionalidad extranjera en el Distrito: 
RUMANÍA (Población total Distrito)",79
9.0,Moncloa-Aravaca,92.0,Argüelles,2019,Votos,"Elecciones municipales, votos a Más Madrid",3807
