nombre,id,lat,lon
Arrocería Aynaelda,ChIJu0clrRCIQQ0R00GSTWpDKZQ,40.3959859,-3.754164000000001
Buffet Latino La Suegra,ChIJR08D2YsnQg0RUpRahajdwuw,40.3866115,-3.740070999999999
BARRIGACORTADORDEJAMON,ChIJPTkT8oonQg0R8e131NHINLw,40.3893049,-3.7419875
Abundancia Madrid,ChIJfTtWCyCIQQ0RjSvbD-IZ_cY,40.39018,-3.7439082
Restaurante Passaparola,ChIJB6AzuSKIQQ0RiIg31sS64Po,40.39015149999999,-3.7530783
Papa Johns Pizza,ChIJ9YcJgyKIQQ0RvFvcsjycTGk,40.390393,-3.751776099999999
Restaurante CHOP SUEY,ChIJs3y1EyOIQQ0RChFYzpwZiDQ,40.3868622,-3.7519638
Restaurante Colombiano & Asador Carnitas,ChIJb_-XcCOIQQ0Ru1EK3Xj4yxo,40.3866828,-3.751662399999999
Restaurante La Romana,ChIJg3YXO4onQg0Rgz3d6I04Dcw,40.3869036,-3.7417922
McDonald's,ChIJK8NLkCCIQQ0Riqt_1oUJXHg,40.38789999999999,-3.7443
Kebab Food,ChIJY3qCliCIQQ0Rx2jwcVtqZNQ,40.3875338,-3.744455099999999
Rodilla,ChIJrR2UeIonQg0RaQZKEblaI3c,40.388368,-3.743461
BAR TATAMI GRILL,ChIJB0rQuReIQQ0RTKKmf5KQCiI,40.3922399,-3.7553465
Museo de la Empanada,ChIJBTOd9IonQg0RYysAPP2odOE,40.3889794,-3.7421403
Restaurante Nuevo Peking,ChIJR6XykD2IQQ0RUw1ExsE5vG0,40.3899242,-3.757175100000001
Cafetería Viena,ChIJZzwA1z2IQQ0Rx97loDY1yIo,40.38902719999999,-3.7584813
Restaurante Rajasthan Curry,ChIJe1P_IvUnQg0RD1qaMeLbo5E,40.39240189999999,-3.7414188
Restaurante Vinoteca Devinums,ChIJmee0CCaIQQ0RmSOyOYB9J-0,40.3820632,-3.7482185
Rest-Bar Buen provecho,ChIJC4d6HB6IQQ0RyVATdPKJDPI,40.3952819,-3.743160299999999
Amar Eurokebap Pizzeria,ChIJaYVS2fQnQg0R6XTrR-1ZUa8,40.3922405,-3.7400014
Restaurante Chino Alegría,ChIJCYhIuCKIQQ0RHroP85TSwlw,40.38996290000001,-3.7528022
El Timón de la Terraza,ChIJ21EgGDyIQQ0R_Hki-_m6GeM,40.3868704,-3.7582413
El Secreto de Dora,ChIJKZpPYYknQg0Rk5aIvfTJWqI,40.3858393,-3.7398634
Domino's Pizza,ChIJOYTDEYonQg0Rm0H0F6qXd5k,40.38692,-3.74281
Restaurante Cervecería El Paseo,ChIJDwocnxWIQQ0R0glU-BIhMPM,40.391237,-3.7602862
Restaurante O Souto,ChIJy5v49IsnQg0RHqRXGqA50OY,40.3872098,-3.7387724
Oriente city,ChIJ0auhEiaIQQ0RGFGKGaE3pU4,40.38230600000001,-3.748068
Li Sushi,ChIJuXGOKyyIQQ0R_Wu9rg4sLrM,40.3804291,-3.7487257
Novecento,ChIJZbf9txeIQQ0RG8X3ByqUJZY,40.3921155,-3.7553568
Parrilla Santa Cruz,ChIJfTsa3YsnQg0RcebDSdC7k2M,40.3857985,-3.7409612
Foster's Hollywood,ChIJOzQGX4knQg0Re3dqSkorC0g,40.38595600000001,-3.740015
Restaurante los Mellizos,ChIJBcnYiCKIQQ0RC6750RgMJcY,40.3902138,-3.751556000000001
Pikondo - Aluche,ChIJGxWmdCOIQQ0RYthkwOTiF-c,40.3873633,-3.752293
Galería Comercial La Laguna,ChIJpTbA7YonQg0R8OyvlEYTEvY,40.3894424,-3.7419534
Pizzería Carlos,ChIJk3RR0FSJQQ0RRK4kajQucoo,40.3897302,-3.7520049
Restaurante Mariacastaña - Aluche,ChIJTVN67NeJQQ0RRWBpxVsEXsw,40.39022289999999,-3.751779699999999
Kebab & Fried Chicken,ChIJOYL46yKIQQ0RxQ9GL2O6eUs,40.3894492,-3.7522179
Il fuoco,ChIJgQpkI7yJQQ0RkbH2Of1QJEQ,40.3873852,-3.752011700000001
Burger King,ChIJjbuspxuJQQ0Rt4kl3LTGLvY,40.38734729999999,-3.7520215
Island Club Lounge,ChIJ8SA3ayOIQQ0RK4EOwJs_CFo,40.3871572,-3.7521403
Bar restaurante Kalenda,ChIJs3y1EyOIQQ0RGQhPtrqdtvY,40.3872117,-3.752271599999999
Restaurante Encanto,ChIJO9CRu_OJQQ0R7siszwp8tk4,40.3870665,-3.752098899999999
Urban118,ChIJ61fessWJQQ0R86gyK4Js3CQ,40.3870665,-3.752098899999999
La Barra Madrid,ChIJZ7wIhQ-JQQ0R3jjbv2bMPxI,40.3866828,-3.751662399999999
Fogon Y Sabor Antigua Tranquera,ChIJb_-XcCOIQQ0RpEOePJorOJM,40.38666389999999,-3.7516669
Restaurante Sabor de Sofia,ChIJ0ZHmc0OJQQ0RVOw1TVPQxqo,40.39049869999999,-3.7529719
SUSHI FUSIÓN,ChIJvRE3biOIQQ0RTVCwLDYO26k,40.3866908,-3.7518281
Cerveceria Tucana,ChIJeQHZYBiIQQ0RWPWocSFdyQo,40.39184009999999,-3.7511986
El Galón,ChIJedi2-iCIQQ0Rw4agK0xlD8I,40.38766549999999,-3.745265
El Paisano,ChIJK1Q3JqmJQQ0RA6cKOkIuhTo,40.39088340000001,-3.7537083
Restaurante Cerveceria,ChIJhafQ7iCIQQ0RbDpS2DRxyJk,40.3877061,-3.7452318
BAR Restaurante tilin tilin,ChIJvbKzkQOJQQ0RXTHDiid7hrc,40.38734609999999,-3.7454387
NutriFood,ChIJUUjJpxOJQQ0RpSh63gp1Wxw,40.3872142,-3.7453874
Joker Kebab,ChIJa5pbJwCJQQ0RJ5UK9GfTokk,40.38706820000001,-3.7454035
Restaurante Los Mesegares,ChIJe1tfYoonQg0RAKnbggBQQ-Q,40.3867545,-3.7456207
EL MONTADITO,ChIJlxqE6iCIQQ0RdDlH4zu9INM,40.3873826,-3.7449112
HALAL DONER KEBAB,ChIJH704wCCIQQ0RQjF1uqZfWco,40.3872842,-3.7448782
Restaurante INTERLATINO,ChIJV7E0zv6JQQ0Rj1bO8eXKUYw,40.39026079999999,-3.744534799999999
Cafeteria Colibri,ChIJi-zfWCOIQQ0Rnq4UQRLF7oU,40.3858212,-3.752703299999999
Chigar,ChIJC7E7eyCIQQ0R4NVIwIVaxQM,40.3891181,-3.7440714
Sakura & Telechina,ChIJazRhF4wnQg0RlYoSfibKTlQ,40.3869835,-3.7373784
Lalternativa,ChIJobvXGIwnQg0RsbaeM4xLigY,40.38676299999999,-3.7373363
Papa Johns Pizza,ChIJEzpOEpInQg0Rrez6TlxoUFs,40.3878674,-3.732456399999999
Bar Sabores del Mundo,ChIJO7BkPZInQg0R1GLLeoF-T5Y,40.38734439999999,-3.7318804
La Trocola,ChIJ0U1WOJInQg0RMuH-np30D5E,40.3876737,-3.731604599999999
Chow Fan Restaurante Colombiano,ChIJmzasG5MnQg0RE48dJGN-Z5s,40.3900386,-3.7303532
Enotaberna de Oporto,ChIJ8bidvJMnQg0RfcPdDogou-Y,40.38837549999999,-3.7298566
LA CAMPANA DE LEÓN SL,ChIJIfMsH40nQg0RiKDqGdZ9F70,40.3896252,-3.735074
POLLERÍA,ChIJte2eqpEnQg0RHolN1faBMJY,40.3840863,-3.7308195
Rubio Bar Restaurante,ChIJbb7ZOo0nQg0RgzoDFA4sTK8,40.3909868,-3.7353965
Burger King,ChIJKa8UGI0nQg0Rp0eNdl7lSGg,40.38993689999999,-3.7354091
Pulpería Botafumeiro,ChIJtX-EOpInQg0RuwlPdgmB0mA,40.3870802,-3.731249699999999
