nombre,postal,calle,numero,cocina,lat,lon,wheelchair
Café Comercial,28004,Glorieta de Bilbao,7,,40.428732,-3.7020018,
Honest Greens,28004,Calle de Fuencarral,95,,40.4270276,-3.7016997,no
Restaurante Bar Asociación Amigos de Yanguas,,,,,42.1000902,-2.33825,
La Parrilla de Nino,28015,Plaza de Cristino Martos,2,,40.4257656,-3.7120898,limited
Taj Mahal,28015,Calle del Duque de Osuna,6,indian,40.42514,-3.7118533,no
Borda,,,,,42.901569,-2.0646,
Urbasa,,,,,42.9040953,-2.0624662,
Iturri Eder,,,,,42.9059585,-2.0652421,
Irurzun,,,,,42.9078895,-2.0650614,
La Pomarada,28015,Calle del Conde Duque,,regional,40.426008,-3.7115084,no
Sexto,28004,Calle de Fernando VI,6,,40.4252476,-3.6963836,
Brasa y Leña,28013,Plaza del Comandante Las Morenas,3,,40.4162327,-3.7088498,
100 Montaditos,,,,sandwich,40.4136118,-3.7087304,
Les Roques,,,,,39.4710138,-0.3806733,
La Masía del Vino,,,,,39.4708998,-0.3812193,
Aladino,,,,,39.470892,-0.3830845,
,,,,,38.874944,-1.3324402,
Olatz jatetxea,,,,,43.2889873,-2.4066274,
Lasa jatetxea,,,,,43.107101,-2.4187505,
Caretta Beach 3 La Pared,,,,regional,28.2183515,-14.2193855,
El Tilo,,,,regional,36.9617778,-3.3595921,
El Jardín de los Sabores,18413,Carretera de la Sierra,6,,36.9608186,-3.3569562,
s'Estiu,07589,Via de les Coves,37,,39.6567475,3.4375368,
El Mesón,,,,,39.6580359,3.440503,
El Pirata,,,,,39.6557273,3.4394614,
Bonanza,07589,Via Melesigeni,52,pizza,39.6562822,3.4384913,
Isabel,07589,Via de les Coves,43,regional;tapas,39.6562361,3.4370405,
Rafael Navarro Trujillo,07589,Via Melesigeni,7,,39.6577952,3.4390314,
El Viajero,28005,Plaza de la Cebada,11,,40.4116487,-3.7101786,no
Que trabaje Rita,,,,,40.412068,-3.7105933,
Tío Timón,28005,Costanilla de San Andrés,8,regional,40.4131593,-3.7117469,limited
Taquería del Alamillo,,,,,40.4137154,-3.7127335,
Makatzeta,,,,,43.0962295,-2.5745072,
Foster's Hollywood,,,,american,39.4770984,-0.3632878,
Casa Manolo,,,,,39.4520975,-0.3739486,
Casa Tere,,,,,39.4508285,-0.3732921,
,,,,,39.4505895,-0.3730823,
Nuevo Siglo,,,,chinese,39.4510699,-0.3720946,
Bar San Luís,,,,,39.4482747,-0.3678884,
El Famós,46022,Camí de L'esglesia de Vera,14,regional,39.4849007,-0.3379912,
Yashi Wok,,,,,39.4955817,-0.4016255,
Casa Ginés,,,,,40.485413,-3.6852544,
Mesón Gallego,,,,,40.4857882,-3.6926733,limited
Queen Burger Gourmet,28034,Calle de San Modesto,34,burger,40.4855645,-3.6920333,
tele-bocata,,,,,40.4862924,-3.6924531,
,,,,,40.4843585,-3.6868649,
,,,,,40.4844368,-3.6870451,
Casa Mouriño,,,,,40.485544,-3.6895993,
Tapería de Fuencarral,,,,,40.4849065,-3.68482,
Taberna la Tortuga,,,,,40.4468248,-3.714308,
Pans & Company,,,,sandwich,41.7242743,1.8466648,
Restaurante otavaleño,,,,equatorian,40.4868023,-3.6892489,
Restaurante Fereva,,,,,40.4854963,-3.6895029,
Cafetería Filosofía,,,,,40.4486523,-3.7297735,limited
DJango,,,,,39.4742601,-0.3812275,yes
Fuente de la Fama,,,,,40.4115676,-3.6978097,
A Cañada,,Calle de Fúcar,20,,40.4112109,-3.69567,no
Arrocería Gala,,,,,40.412427,-3.6963071,no
El Fogón Verde,28014,Calle de la Alameda,4,spanish,40.4122937,-3.6939658,no
Moratin 40,28014,Calle de Moratín,40,,40.4125537,-3.6951865,no
El Rábano,,,,,40.4134319,-3.6957085,
Terra Mundi,28014,Calle de Lope de Vega,32,regional,40.4136237,-3.6960696,no
Edelweiss,,,,,40.4169233,-3.6966322,yes
El Secreto de Castilla,,,,,40.4171806,-3.6965924,
Sagardi,28014,Calle de Jovellanos,3,,40.4173325,-3.6966034,
Vegetariano,,,,,40.416822,-3.6971908,
Uskar,,,,regional,40.4040925,-3.7009208,
A Cañada,,,,,40.4047549,-3.7014847,
El Valle,28012,Calle de Sebastián Herrera,6,spanish,40.4037373,-3.6995978,
Tia Julia,,,,,40.4049362,-3.6986721,
Ramen Kagura,28012,Calle de José Antonio Armona,12,ramen,40.4051914,-3.6973199,
Mama Teresa Burger,28045,P.º de Sta. María de la Cabeza,35,burger,40.4038286,-3.6964406,
Atocha Tandoori,28045,Paseo de Santa María de la Cabeza,27,indian,40.4050712,-3.6952969,
Arcade,28013,Calle Mayor,73,regional,40.4152606,-3.7115508,
Cruz Blanca,28013,Calle Mayor,68,,40.4156653,-3.7102121,no
Jiao Jiao,,,,chinese,40.4155515,-3.7099687,
Taste Gallery,,,,,40.4153729,-3.7094547,
Taberneros,28013,Calle de Santiago,9,,40.4163669,-3.7104348,
Arbonaida,28013,Calle de Santiago,11,,40.4164826,-3.7106873,
Grazie Mille,,,,,40.4161161,-3.7075072,
San Rosendo,,,,,42.3167613,-7.8682441,
Entre suspiro y suspiro,28013,Calle de Caños del Peral,3,mexican,40.4186369,-3.7090308,
Ópera Victoria,28013,Calle de Caños del Peral,2,,40.4185506,-3.7089327,
Wok King,28013,Calle de las Veneras,9,chinese,40.4195999,-3.7077336,
Taberna de los Ángeles,28013,Costanilla de los Ángeles,8,,40.4186643,-3.7082433,
Prep‘ la Crêpe,28013,Calle Preciados,33,crepes,40.4196449,-3.7070086,limited
El Gaucho,28013,Calle de Tetuán,34,,40.418183,-3.7031236,
Artemisa,28013,Calle de las Tres Cruces,4,,40.419207,-3.7029076,
Takos Al Pastor,28013,Calle Abada,2,mexican,40.418948,-3.7037389,
Ginos,28013,Gran Vía,43,italian,40.4205737,-3.7068314,
Bipolar,46001,Plaza de las Escuelas Pías,3,,39.4737322,-0.3818644,
Restaurante Aldaba,,,,,39.4746657,-0.3835167,
Unsushi,,Carrer de Murillo,31,sushi,39.4753554,-0.3830892,
Canela Arroces,46001,Carrer de Quart,57,spanish,39.4758321,-0.3830933,
Hostal Ventas de Carrión,,,,,42.7097912,-2.0707819,
Dhaba,46001,Plaça de Joan de Vila-rasa,6,italian,39.4742592,-0.3808255,
Central Rambla,08002,La Rambla,26,,41.3782716,2.1761732,
Restaurante Stil,35627,Calle La Parabola,,german,28.1618001,-14.2310826,
Pizzeria Rinconcito,,,,pizza,28.1616042,-14.2306256,
Finca Pepe,35637,,,,28.4237879,-14.0724355,
Casa Enrique,39710,Paseo de la Estación,12,,43.3871447,-3.731052,
Gallipoli,11300,Avenida de España,,italian,36.1604123,-5.3491917,
Restaurante El Cortijo,,,,,42.3386557,-1.8102323,
Cantal Panoramic,,,,,42.7625673,-0.3829669,
Autoservicio Anayet,,,,,42.7791398,-0.4132234,
Selva Café,,,,,42.7748435,-0.3721433,
Preity Raj,,,,,40.4102862,-3.7008582,
A Cañada,28012,Calle del Ave María,17,regional,40.4109653,-3.7004479,
Raja Mahal,28012,Calle del Ave María,15,indian,40.4111374,-3.700326,
Moharaj,,,,,40.4110886,-3.700589,
Nap,28012,Calle del Ave María,,pizza,40.4108202,-3.7005322,limited
Bombay Palace,,,,,40.4107264,-3.7008747,
,,,,,40.4093708,-3.7009194,
