iter	RMSE
0	7.884277234
1	7.695673012
2	7.51797717
3	7.37950714
4	7.234216951
5	7.122323955
6	7.025597335
7	6.932824308
8	6.844950797
9	6.776073178
10	6.710582461
11	6.643515645
12	6.597467758
13	6.556289116
14	6.514296945
15	6.476118778
16	6.450270434
17	6.402611235
18	6.362413188
19	6.337024297
20	6.295991256
21	6.270504173
22	6.245046642
23	6.220804925
24	6.191847134
25	6.168139113
26	6.146492133
27	6.124348031
28	6.1040468
29	6.076707046
30	6.061718103
31	6.041859144
32	6.031563756
33	6.013310129
34	5.998039283
35	5.980233404
36	5.962236894
37	5.939625867
38	5.930309438
39	5.914969578
40	5.902145762
41	5.880177915
42	5.86666633
43	5.847856443
44	5.8365306
45	5.822118223
46	5.809260953
47	5.79608739
48	5.783719943
49	5.771508931
50	5.757874833
51	5.74061155
52	5.729148085
53	5.714677173
54	5.70409748
55	5.691917801
56	5.680299488
57	5.664005002
58	5.652526523
59	5.64430408
60	5.634784625
61	5.621046755
62	5.608837245
63	5.599374013
64	5.586880063
65	5.577546724
66	5.57333957
67	5.568212205
68	5.559805515
69	5.552413896
70	5.542468212
71	5.536049497
72	5.526659919
73	5.520896002
74	5.514071398
75	5.501673383
76	5.492082846
77	5.473306319
78	5.461562254
79	5.455143659
80	5.440164865
81	5.430592243
82	5.418333378
83	5.40212042
84	5.396750249
85	5.387577897
86	5.378099812
87	5.373727876
88	5.36549917
89	5.354523443
90	5.340752197
91	5.328932991
92	5.315113374
93	5.3057812
94	5.29783549
95	5.293475813
96	5.28707548
97	5.281484919
98	5.2678624
99	5.256229572
