iter	Passed	Remaining
0	5	540
1	9	475
2	14	474
3	18	455
4	23	445
5	27	433
6	32	430
7	36	421
8	41	415
9	45	409
10	49	402
11	53	393
12	57	386
13	62	385
14	67	383
15	72	379
16	76	372
17	80	367
18	84	361
19	89	356
20	93	352
21	97	346
22	101	341
23	106	336
24	110	332
25	114	327
26	119	322
27	123	316
28	127	312
29	131	307
30	136	302
31	140	298
32	145	294
33	149	289
34	153	284
35	158	281
36	162	276
37	166	271
38	170	267
39	175	263
40	180	260
41	184	255
42	189	251
43	193	246
44	197	241
45	202	238
46	208	235
47	213	230
48	217	226
49	222	222
50	228	219
51	235	217
52	240	213
53	246	209
54	252	206
55	258	202
56	265	199
57	271	196
58	277	193
59	283	189
60	288	184
61	293	180
62	298	175
63	304	171
64	308	166
65	313	161
66	318	156
67	322	151
68	327	147
69	332	142
70	337	138
71	342	133
72	347	128
73	351	123
74	355	118
75	360	113
76	364	108
77	369	104
78	373	99
79	377	94
80	382	89
81	386	84
82	392	80
83	397	75
84	402	70
85	407	66
86	412	61
87	417	56
88	421	52
89	426	47
90	431	42
91	435	37
92	439	33
93	443	28
94	447	23
95	452	18
96	456	14
97	460	9
98	464	4
99	469	0
